area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Guyana,Guyana,GUY,low,12847812,15236126,20213679,24917017,35058256,40011930,44888099,54721419,64865234,70047463,75270346,85825424,96456180,1,1
America,Guyana,Guyana,GUY,mean,12847812,19810466,26732993,34188655,48501721,55695360,63075602,78236346,93669087,101474216,109386348,125328051,141393986,1,2
America,Guyana,Guyana,GUY,high,12847812,24088845,33749870,43178200,62171671,72090428,82133835,102531159,123405309,133945562,144532038,165804210,187186550,1,3
America,Haiti,Haiti,HTI,low,811394,601864,907788,1188479,1754512,2065575,2393231,2749372,2749372,2749372,2749372,2749372,2749372,1,1
America,Haiti,Haiti,HTI,mean,811394,911909,1329362,1763006,2711908,2749372,2749372,2749372,2749372,2749372,2749372,2749372,2749372,1,2
America,Haiti,Haiti,HTI,high,811394,1195820,1766838,2410982,2749372,2749372,2749372,2749372,2749372,2749372,2749372,2749372,2749372,1,3
America,Honduras,Honduras,HND,low,17862606,13536939,21105031,28696103,43690875,50981393,58138941,72083685,85964863,93471753,102136087,122433844,128519818,1,1
America,Honduras,Honduras,HND,mean,17862606,19074840,29440918,39727755,59529432,69043648,78520621,99076895,126835904,128519818,128519818,128519818,128519818,1,2
America,Honduras,Honduras,HND,high,17862606,24632665,37724489,50472771,74825724,86856609,100841516,128519818,128519818,128519818,128519818,128519818,128519818,1,3
America,Jamaica,Jamaica,JAM,low,799088,397233,605761,822203,1279683,1518829,1763489,2263513,2772275,3030187,3289673,3813021,4340943,1,1
America,Jamaica,Jamaica,JAM,mean,799088,749057,1162985,1599710,2516827,2987167,3463390,4429135,5421654,5933584,6456895,7540525,8685745,1,2
America,Jamaica,Jamaica,JAM,high,799088,1124321,1763250,2432128,3812601,4517857,5238434,6747366,8366619,9229057,10129114,12079967,14252006,1,3
America,Martinique,Martinique,MTQ,low,76152,44909,63929,82412,120933,142031,164270,212591,263573,289338,315708,367979,420829,1,1
