"area_cont","area_ctry","area_name","area_code","proj","for2000","for2010","for2020","d","p","for2030","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","for2110","loss21","yrdis"
"America","Paraguay","Paraguay","PRY","mean",2359,1440,1090,34950,2.7,741,391,42,0,0,0,0,0,0,0,0,100,"2051"
"America","Paraguay","Paraguay","PRY","high",2359,1440,1090,50764,4.3,583,75,0,0,0,0,0,0,0,0,0,100,"2041"
"America","Peru","Peru","PER","low",73255,71901,70775,95602,0.1,69819,68863,67907,67429,66951,65995,65039,64561,64082,63126,62170,14,"2760"
"America","Peru","Peru","PER","mean",73255,71901,70775,112691,0.2,69648,68521,67394,66830,66267,65140,64013,63450,62886,61759,60632,16,"2648"
"America","Peru","Peru","PER","high",73255,71901,70775,129780,0.2,69477,68179,66881,66232,65583,64286,62988,62339,61690,60392,59094,18,"2565"
"America","Puerto Rico","Puerto Rico","PRI","low",423,358,321,1566,0.4,305,290,274,266,258,243,227,219,211,196,180,54,"2225"
"America","Puerto Rico","Puerto Rico","PRI","mean",423,358,321,3688,1.1,284,247,210,192,174,137,100,81,63,26,0,94,"2107"
"America","Puerto Rico","Puerto Rico","PRI","high",423,358,321,5809,1.8,263,205,147,118,89,31,0,0,0,0,0,100,"2075"
"America","Saint Kitts and N.","Saint Kitts and N.","KNA","low",9,9,9,12,0.1,9,8,8,8,8,8,8,8,8,8,8,17,"2739"
"America","Saint Kitts and N.","Saint Kitts and N.","KNA","mean",9,9,9,34,0.4,8,8,8,7,7,7,7,6,6,6,6,36,"2273"
"America","Saint Kitts and N.","Saint Kitts and N.","KNA","high",9,9,9,56,0.6,8,8,7,7,6,6,5,5,5,4,4,55,"2174"
"America","Saint Lucia","Saint Lucia","LCA","low",47,47,44,124,0.3,43,42,40,40,39,38,37,36,35,34,33,28,"2375"
"America","Saint Lucia","Saint Lucia","LCA","mean",47,47,44,261,0.6,41,39,36,35,34,31,28,27,26,23,21,51,"2188"
"America","Saint Lucia","Saint Lucia","LCA","high",47,47,44,398,0.9,40,36,32,30,28,24,20,18,16,12,8,74,"2130"
"America","Saint Martin","Saint Martin","MAF","low",1,1,0,4,0.7,0,0,0,0,0,0,0,0,0,0,0,100,"2099"
"America","Saint Martin","Saint Martin","MAF","mean",1,1,0,24,5.4,0,0,0,0,0,0,0,0,0,0,0,100,"2033"
"America","Saint Martin","Saint Martin","MAF","high",1,1,0,44,14.3,0,0,0,0,0,0,0,0,0,0,0,100,"2027"
"America","Saint Vincent","Saint Vincent","VCT","low",29,28,27,54,0.2,27,26,26,26,25,25,24,24,24,23,23,20,"2527"
"America","Saint Vincent","Saint Vincent","VCT","mean",29,28,27,106,0.4,26,25,24,24,23,22,21,21,20,19,18,34,"2278"
"America","Saint Vincent","Saint Vincent","VCT","high",29,28,27,159,0.6,26,24,23,22,21,19,18,17,16,15,13,49,"2192"
"America","Sint Maarten","Sint Maarten","SXM","low",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,100,"2078"
"America","Sint Maarten","Sint Maarten","SXM","mean",0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,100,"2031"
"America","Sint Maarten","Sint Maarten","SXM","high",0,0,0,18,16.4,0,0,0,0,0,0,0,0,0,0,0,100,"2026"
"America","Suriname","Suriname","SUR","low",13814,13727,13624,8044,0.1,13544,13463,13383,13342,13302,13222,13141,13101,13061,12980,12900,6,"3713"
"America","Suriname","Suriname","SUR","mean",13814,13727,13624,10316,0.1,13521,13418,13315,13263,13211,13108,13005,12953,12902,12799,12696,7,"3340"
"America","Suriname","Suriname","SUR","high",13814,13727,13624,12589,0.1,13498,13372,13246,13183,13120,12995,12869,12806,12743,12617,12491,9,"3102"
"America","Trinidad and Tobago","Trinidad and Tobago","TTO","low",349,330,307,382,0.1,303,299,295,293,291,287,284,282,280,276,272,21,"2822"
"America","Trinidad and Tobago","Trinidad and Tobago","TTO","mean",349,330,307,2355,0.7,283,259,236,224,212,189,165,153,142,118,95,66,"2150"
"America","Trinidad and Tobago","Trinidad and Tobago","TTO","high",349,330,307,4328,1.4,263,220,177,155,133,90,47,25,4,0,0,100,"2090"
"America","Venezuela","Venezuela","VEN","low",44743,42913,41430,99388,0.2,40436,39442,38448,37951,37454,36461,35467,34970,34473,33479,32485,25,"2436"
"America","Venezuela","Venezuela","VEN","mean",44743,42913,41430,148279,0.4,39947,38464,36982,36240,35499,34016,32533,31792,31050,29568,28085,34,"2299"
"America","Venezuela","Venezuela","VEN","high",44743,42913,41430,197169,0.5,39458,37487,35515,34529,33543,31572,29600,28614,27628,25656,23685,43,"2230"
"America","Virgin Isl. UK","Virgin Isl. UK","VGB","low",4,3,2,28,1,2,1,1,1,1,0,0,0,0,0,0,100,"2086"
"America","Virgin Isl. UK","Virgin Isl. UK","VGB","mean",4,3,2,96,4,1,0,0,0,0,0,0,0,0,0,0,100,"2039"
"America","Virgin Isl. UK","Virgin Isl. UK","VGB","high",4,3,2,164,8.3,0,0,0,0,0,0,0,0,0,0,0,100,"2031"
"America","Virgin Isl. US","Virgin Isl. US","VIR","low",9,8,7,32,0.4,6,6,6,6,5,5,5,5,4,4,4,55,"2228"
