"area_cont","area_ctry","area_name","area_code","proj","C2020","C2030","C2040","C2050","C2060","C2070","C2080","C2090","C2100","C2110"
"Africa","Madagascar","Madagascar","MDG","high",60669,82391,170799,267448,330993,330993,330993,330993,330993,330993
"Africa","Malawi","Malawi","MWI","low",1840,1157,2219,2253,2253,2253,2253,2253,2253,2253
"Africa","Malawi","Malawi","MWI","mean",1840,1877,2253,2253,2253,2253,2253,2253,2253,2253
"Africa","Malawi","Malawi","MWI","high",1840,2253,2253,2253,2253,2253,2253,2253,2253,2253
"Africa","Mauritius","Mauritius","MUS","low",59,4,7,10,13,16,20,23,27,30
"Africa","Mauritius","Mauritius","MUS","mean",59,63,130,206,294,392,500,616,738,863
"Africa","Mauritius","Mauritius","MUS","high",59,126,284,482,711,956,1189,1314,1314,1314
"Africa","Mayotte","Mayotte","MYT","low",275,80,163,245,330,414,494,565,643,656
"Africa","Mayotte","Mayotte","MYT","mean",275,284,558,656,656,656,656,656,656,656
"Africa","Mayotte","Mayotte","MYT","high",275,487,656,656,656,656,656,656,656,656
"Africa","Nigeria","Nigeria","NGA","low",44581,33648,73258,116474,161880,211263,260709,306374,351819,407509
"Africa","Nigeria","Nigeria","NGA","mean",44581,53730,118606,189597,265210,334012,417524,427625,427625,427625
"Africa","Nigeria","Nigeria","NGA","high",44581,75251,166387,267444,361135,427625,427625,427625,427625,427625
"Africa","Reunion","Reunion","REU","low",177,116,249,385,525,659,804,948,1098,1252
"Africa","Reunion","Reunion","REU","mean",177,185,386,592,806,1026,1256,1495,1740,1993
"Africa","Reunion","Reunion","REU","high",177,250,527,807,1104,1416,1742,2083,2438,2807
"Africa","Rwanda","Rwanda","RWA","low",993,376,802,1317,2227,3274,4368,5474,6546,7269
"Africa","Rwanda","Rwanda","RWA","mean",993,1089,3599,6546,11537,11537,11537,11537,11537,11537
