area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Nicaragua,Nicaragua,NIC,high,71520939,109432214,162510873,216798352,308251684,308251684,308251684,308251684,308251684,308251684,308251684,308251684,308251684,1,3
America,Panama,Panama,PAN,low,15625557,11530799,17214530,23019660,34919453,40968325,47076533,59462744,72006547,78341972,84727432,97637799,110720822,1,1
America,Panama,Panama,PAN,mean,15625557,15851142,23856185,32055186,48829434,57379701,66006742,83492020,101342426,110390018,119524494,138030261,156827523,1,2
America,Panama,Panama,PAN,high,15625557,20233213,30623059,41247518,63012287,74092613,85311876,108185330,131597795,143487061,155500462,179827699,204609400,1,3
America,Paraguay,Paraguay,PRY,low,28325267,15329305,23027190,30747329,46484941,54465097,62471430,78518637,89656808,89656808,89656808,89656808,89656808,1,1
America,Paraguay,Paraguay,PRY,mean,28325267,28054960,42353394,56904317,86219042,89656808,89656808,89656808,89656808,89656808,89656808,89656808,89656808,1,2
America,Paraguay,Paraguay,PRY,high,28325267,40980220,62133441,83419632,89656808,89656808,89656808,89656808,89656808,89656808,89656808,89656808,89656808,1,3
America,Peru,Peru,PER,low,119500690,111534433,165752065,219804693,326597018,379588206,432282964,536632942,640259801,691991963,743747902,847394994,950981447,1,1
America,Peru,Peru,PER,mean,119500690,130943597,194789145,258175631,383421302,445446256,506995097,629265584,751272335,812351609,873444448,995443929,1117350038,1,2
America,Peru,Peru,PER,high,119500690,150310620,223708878,296312392,439895972,510782532,581268448,721761990,862437674,932711158,1002920487,1143335480,1283976601,1,3
America,Puerto Rico,Puerto Rico,PRI,low,2555517,1091651,1690436,2305213,3563537,4205692,4852077,6142810,7442478,8103128,8771697,10122409,11508546,1,1
America,Puerto Rico,Puerto Rico,PRI,mean,2555517,2748181,4247994,5768116,8858970,10455069,12100837,15512314,19110632,20987731,22920682,26914786,29674976,1,2
America,Puerto Rico,Puerto Rico,PRI,high,2555517,4476749,6873685,9334819,14558173,17332304,20232002,26414022,29674976,29674976,29674976,29674976,29674976,1,3
America,Saint Kitts and N.,Saint Kitts and N.,KNA,low,29713,7431,11859,16546,26578,31831,37182,48162,59579,65377,71090,82782,94465,1,1
America,Saint Kitts and N.,Saint Kitts and N.,KNA,mean,29713,24838,39830,55764,88557,105214,122130,155810,189541,206967,224283,259056,294706,1,2
America,Saint Kitts and N.,Saint Kitts and N.,KNA,high,29713,44472,71090,98418,153839,181575,210030,267303,326805,357161,388029,449461,510971,1,3
America,Saint Lucia,Saint Lucia,LCA,low,180094,114723,165093,211454,295980,336425,376085,458701,542754,585082,627722,716238,809356,1,1
America,Saint Lucia,Saint Lucia,LCA,mean,180094,220627,308651,393042,569416,659771,754598,957380,1171486,1281581,1393828,1622937,1858102,1,2
America,Saint Lucia,Saint Lucia,LCA,high,180094,312906,442859,578231,869757,1028537,1193236,1536287,1893515,2076089,2260620,2637543,3030404,1,3
America,Saint Martin,Saint Martin,MAF,low,17765,3374,5103,6981,10352,12000,13663,17041,20472,22158,23807,27097,27097,1,1
America,Saint Martin,Saint Martin,MAF,mean,17765,20472,27097,27097,27097,27097,27097,27097,27097,27097,27097,27097,27097,1,2
America,Saint Martin,Saint Martin,MAF,high,17765,27097,27097,27097,27097,27097,27097,27097,27097,27097,27097,27097,27097,1,3
America,Saint Vincent,Saint Vincent,VCT,low,79486,38340,59614,81177,125255,146477,167027,207365,246290,265871,285327,323381,361938,1,1
America,Saint Vincent,Saint Vincent,VCT,mean,79486,79621,122932,163915,242068,280175,317810,393564,472698,513129,554665,639591,727154,1,2
America,Saint Vincent,Saint Vincent,VCT,high,79486,122932,184061,242068,355530,413228,472698,596742,727154,794488,862620,999217,1138625,1,3
America,Sint Maarten,Sint Maarten,SXM,low,7429,1477,2214,2901,4491,5287,6108,7752,9112,9112,9112,9112,9112,1,1
America,Sint Maarten,Sint Maarten,SXM,mean,7429,7752,9112,9112,9112,9112,9112,9112,9112,9112,9112,9112,9112,1,2
